Tracing run queue latency... Hit Ctrl-C to end.

     usecs               : count     distribution
         0 -> 1          : 812      |                                        |
         2 -> 3          : 4895     |                                        |
         4 -> 7          : 10856    |*                                       |
         8 -> 15         : 1597     |                                        |
        16 -> 31         : 597      |                                        |
        32 -> 63         : 350      |                                        |
        64 -> 127        : 225      |                                        |
       128 -> 255        : 238      |                                        |
       256 -> 511        : 91       |                                        |
       512 -> 1023       : 471      |                                        |
      1024 -> 2047       : 1246     |                                        |
      2048 -> 4095       : 11371    |*                                       |
      4096 -> 8191       : 15027    |*                                       |
      8192 -> 16383      : 316924   |****************************************|
     16384 -> 32767      : 116550   |**************                          |
     32768 -> 65535      : 519      |                                        |
     65536 -> 131071     : 129      |                                        |
    131072 -> 262143     : 143      |                                        |
    262144 -> 524287     : 59       |                                        |
    524288 -> 1048575    : 57       |                                        |
   1048576 -> 2097151    : 6        |                                        |
   2097152 -> 4194303    : 2        |                                        |
Tracing run queue latency... Hit Ctrl-C to end.

     usecs               : count     distribution
         0 -> 1          : 1516     |                                        |
         2 -> 3          : 4033     |*                                       |
         4 -> 7          : 7424     |*                                       |
         8 -> 15         : 1677     |                                        |
        16 -> 31         : 1960     |                                        |
        32 -> 63         : 749      |                                        |
        64 -> 127        : 188      |                                        |
       128 -> 255        : 176      |                                        |
       256 -> 511        : 147      |                                        |
       512 -> 1023       : 165      |                                        |
      1024 -> 2047       : 186      |                                        |
      2048 -> 4095       : 1846     |                                        |
      4096 -> 8191       : 2552     |                                        |
      8192 -> 16383      : 6848     |*                                       |
     16384 -> 32767      : 154313   |****************************************|
     32768 -> 65535      : 57345    |**************                          |
     65536 -> 131071     : 212      |                                        |
    131072 -> 262143     : 67       |                                        |
    262144 -> 524287     : 114      |                                        |
    524288 -> 1048575    : 27       |                                        |
   1048576 -> 2097151    : 14       |                                        |
