queue: mean 1.063 ms | p95 2.921 ms | p99 4.889 ms | max 23.475 ms
queue: mean 1.056 ms | p95 2.921 ms | p99 5.112 ms | max 20.136 ms
queue: mean 1.086 ms | p95 2.943 ms | p99 5.098 ms | max 19.133 ms
queue: mean 8.746 ms | p95 35.916 ms | p99 233.536 ms | max 350.477 ms
queue: mean 1.073 ms | p95 2.898 ms | p99 5.164 ms | max 30.055 ms
queue: mean 1.026 ms | p95 2.816 ms | p99 4.770 ms | max 25.275 ms
queue: mean 1.051 ms | p95 2.862 ms | p99 4.889 ms | max 15.498 ms
queue: mean 3.052 ms | p95 3.673 ms | p99 91.823 ms | max 226.918 ms
queue: mean 1.061 ms | p95 2.948 ms | p99 5.031 ms | max 17.015 ms
queue: mean 1.050 ms | p95 2.905 ms | p99 4.934 ms | max 19.774 ms
queue: mean 1.906 ms | p95 4.669 ms | p99 7.818 ms | max 28.036 ms
queue: mean 34.001 ms | p95 386.775 ms | p99 569.082 ms | max 648.756 ms
queue: mean 1.718 ms | p95 4.706 ms | p99 8.487 ms | max 35.883 ms
queue: mean 1.679 ms | p95 4.676 ms | p99 8.104 ms | max 35.279 ms
queue: mean 2.065 ms | p95 5.275 ms | p99 15.453 ms | max 105.736 ms
queue: mean 1.514 ms | p95 4.479 ms | p99 7.855 ms | max 41.974 ms
queue: mean 1.223 ms | p95 3.742 ms | p99 6.119 ms | max 24.920 ms
queue: mean 1.195 ms | p95 3.951 ms | p99 7.671 ms | max 20.618 ms
queue: mean 2.151 ms | p95 5.303 ms | p99 10.885 ms | max 61.593 ms
queue: mean 2.006 ms | p95 4.796 ms | p99 8.877 ms | max 38.018 ms
queue: mean 1.906 ms | p95 4.669 ms | p99 7.818 ms | max 28.036 ms
queue: mean 34.001 ms | p95 386.775 ms | p99 569.082 ms | max 648.756 ms
queue: mean 1.718 ms | p95 4.706 ms | p99 8.487 ms | max 35.883 ms
queue: mean 1.679 ms | p95 4.676 ms | p99 8.104 ms | max 35.279 ms
queue: mean 2.065 ms | p95 5.275 ms | p99 15.453 ms | max 105.736 ms
queue: mean 1.514 ms | p95 4.479 ms | p99 7.855 ms | max 41.974 ms
queue: mean 1.223 ms | p95 3.742 ms | p99 6.119 ms | max 24.920 ms
queue: mean 1.195 ms | p95 3.951 ms | p99 7.671 ms | max 20.618 ms
queue: mean 2.151 ms | p95 5.303 ms | p99 10.885 ms | max 61.593 ms
queue: mean 2.006 ms | p95 4.796 ms | p99 8.877 ms | max 38.018 ms
queue: mean 1.906 ms | p95 4.669 ms | p99 7.818 ms | max 28.036 ms
queue: mean 34.001 ms | p95 386.775 ms | p99 569.082 ms | max 648.756 ms
queue: mean 1.718 ms | p95 4.706 ms | p99 8.487 ms | max 35.883 ms
queue: mean 1.679 ms | p95 4.676 ms | p99 8.104 ms | max 35.279 ms
queue: mean 2.065 ms | p95 5.275 ms | p99 15.453 ms | max 105.736 ms
queue: mean 1.514 ms | p95 4.479 ms | p99 7.855 ms | max 41.974 ms
queue: mean 1.223 ms | p95 3.742 ms | p99 6.119 ms | max 24.920 ms
queue: mean 1.195 ms | p95 3.951 ms | p99 7.671 ms | max 20.618 ms
queue: mean 2.151 ms | p95 5.303 ms | p99 10.885 ms | max 61.593 ms
queue: mean 2.006 ms | p95 4.796 ms | p99 8.877 ms | max 38.018 ms
